Base value:     | Encoded:                                                                                     | Decoded:        | Result:
          10000 | 01010001000001001010000000000000000000000000000000000000000000000000000000000000000000000000 |           10000 |     OK  
         100000 | 10101010010010000010100100000000000000000000000000000000000000000000000000000000000000000000 |          100000 |     OK  
        1000000 | 00000000101000000000001010001000000000000000000000000000000000000000000000000000000000000000 |         1000000 |     OK  
       10000000 | 00100100000010000101001001010000010000000000000000000000000000000000000000000000000000000000 |        10000000 |     OK  
      100000000 | 00100001010101000001010000101010010101000000000000000000000000000000000000000000000000000000 |       100000000 |     OK  
     1000000000 | 10010100010100010000010101010000100100001010000000000000000000000000000000000000000000000000 |      1000000000 |     OK  
    10000000000 | 10100100100001001010000100010101010000101000100100000000000000000000000000000000000000000000 |     10000000000 |     OK  
   100000000000 | 00000000101001000000001010010100010000000001000010001000000000000000000000000000000000000000 |    100000000000 |     OK  
  1000000000000 | 00100100010100101000001010001000010000000010100100100000010000000000000000000000000000000000 |   1000000000000 |     OK  
 10000000000000 | 00001000010010010100100101010101010100001001000000101010100101000000000000000000000000000000 |  10000000000000 |     OK  
100000000000000 | 10100001000000100000100100010100010101010100010000001000010101010010000000000000000000000000 | 100000000000000 |     OK  
